2021-05-10 23:05:51.206 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 21:55:06 KST 2021)
2021-05-10 23:05:51.222 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:23 KST 2021)
2021-05-10 23:05:51.223 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:24 KST 2021)
2021-05-10 23:05:51.223 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:25 KST 2021)
2021-05-10 23:05:51.224 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:25 KST 2021)
2021-05-10 23:05:51.224 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:25 KST 2021)
2021-05-10 23:05:51.224 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:26 KST 2021)
2021-05-10 23:05:51.225 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:26 KST 2021)
2021-05-10 23:05:51.225 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:26 KST 2021)
2021-05-10 23:05:51.225 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:27 KST 2021)
2021-05-10 23:05:51.226 [INFO ] [com.bteam.mapper.NoticeMapperTests] [main] [com.bteam.mapper.NoticeMapperTests.lambda$0(NoticeMapperTests.java:22)] -- NoticeVO(noticeBno=null, noticeTitle=null, noticeContent=null, noticeWriter=null, regdate=Mon May 10 22:21:27 KST 2021)
